customer_id,frequency,recency,T,monetary_value
g-291,0.0,0.0,1169.0,0.0
g-292,0.0,0.0,1173.0,0.0
g-293,0.0,0.0,1179.0,0.0
g-295,0.0,0.0,1180.0,0.0
g-296,0.0,0.0,1182.0,0.0
g-297,0.0,0.0,1182.0,0.0
g-298,2.0,6.0,1188.0,54.995
g-299,5.0,815.0,1212.0,166.172
g-300,0.0,0.0,1182.0,0.0
g-301,0.0,0.0,1211.0,0.0
g-302,0.0,0.0,1183.0,0.0
g-303,0.0,0.0,1183.0,0.0
g-304,0.0,0.0,1184.0,0.0
g-305,0.0,0.0,1185.0,0.0
g-306,0.0,0.0,1185.0,0.0
g-307,0.0,0.0,1185.0,0.0
g-308,2.0,1100.0,1185.0,122.88
g-3085,0.0,0.0,319.0,0.0
g-3089,0.0,0.0,315.0,0.0
g-309,0.0,0.0,1185.0,0.0
g-3091,0.0,0.0,314.0,0.0
g-3092,0.0,0.0,310.0,0.0
g-310,0.0,0.0,1185.0,0.0
g-311,0.0,0.0,1212.0,0.0
g-312,0.0,0.0,1213.0,0.0
g-313,0.0,0.0,1188.0,0.0
g-314,0.0,0.0,1213.0,0.0
g-315,0.0,0.0,1188.0,0.0
g-316,1.0,871.0,1213.0,96.96
g-3161,1.0,100.0,290.0,96.09
g-3165,0.0,0.0,290.0,0.0
g-317,0.0,0.0,1213.0,0.0
g-318,0.0,0.0,1188.0,0.0
g-319,0.0,0.0,1213.0,0.0
g-320,0.0,0.0,1213.0,0.0
g-321,0.0,0.0,1213.0,0.0
g-322,0.0,0.0,1213.0,0.0
g-323,0.0,0.0,1189.0,0.0
g-324,0.0,0.0,1190.0,0.0
g-325,0.0,0.0,1190.0,0.0
g-326,0.0,0.0,1191.0,0.0
g-327,0.0,0.0,1191.0,0.0
g-3270,0.0,0.0,282.0,0.0
g-328,2.0,734.0,1191.0,305.17
g-329,0.0,0.0,1194.0,0.0
g-330,0.0,0.0,1195.0,0.0
g-331,0.0,0.0,1197.0,0.0
g-332,0.0,0.0,1198.0,0.0
g-333,0.0,0.0,1199.0,0.0
g-334,0.0,0.0,1200.0,0.0
g-335,0.0,0.0,1202.0,0.0
g-336,0.0,0.0,1204.0,0.0
g-337,0.0,0.0,1204.0,0.0
g-338,0.0,0.0,1205.0,0.0
g-339,0.0,0.0,1209.0,0.0
g-343,0.0,0.0,727.0,0.0
g-345,0.0,0.0,725.0,0.0
g-3468,0.0,0.0,269.0,0.0
g-347,0.0,0.0,714.0,0.0
g-349,0.0,0.0,700.0,0.0
g-351,0.0,0.0,693.0,0.0
g-352,0.0,0.0,692.0,0.0
g-353,0.0,0.0,689.0,0.0
g-3535,0.0,0.0,265.0,0.0
g-3549,1.0,6.0,263.0,127.36
g-3555,0.0,0.0,262.0,0.0
g-357,0.0,0.0,682.0,0.0
g-361,0.0,0.0,680.0,0.0
g-363,0.0,0.0,677.0,0.0
g-3767,0.0,0.0,192.0,0.0
g-3769,0.0,0.0,188.0,0.0
g-3772,0.0,0.0,183.0,0.0
g-3773,0.0,0.0,183.0,0.0
g-3774,0.0,0.0,175.0,0.0
g-3775,0.0,0.0,175.0,0.0
g-3776,0.0,0.0,172.0,0.0
g-3777,0.0,0.0,172.0,0.0
g-3782,0.0,0.0,158.0,0.0
g-3785,0.0,0.0,157.0,0.0
g-3786,0.0,0.0,152.0,0.0
g-3789,0.0,0.0,123.0,0.0
g-3791,0.0,0.0,119.0,0.0
g-3792,0.0,0.0,115.0,0.0
g-3794,0.0,0.0,115.0,0.0
