customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
g-241,0,0,1041,60.0,2,0.9999999275225209
g-242,0,0,1041,60.0,2,0.9999999275225209
g-243,0,0,1041,60.0,2,0.9999999275225209
g-244,1,365,1041,52.495000000000005,1,0.9774797131772882
g-245,0,0,1041,60.0,2,0.9999999275225209
g-246,0,0,1041,60.0,2,0.9999999275225209
g-247,0,0,1046,60.0,2,0.9999999276476652
g-249,0,0,1047,60.0,2,0.999999927683386
g-250,0,0,1047,60.0,2,0.999999927683386
g-251,0,0,1048,60.0,2,0.9999999277226364
g-252,0,0,1048,60.0,2,0.9999999277226364
g-254,0,0,1053,60.0,2,0.9999999279712463
g-255,1,86,1142,51.495000000000005,1,0.9986575297543324
g-2551,0,0,417,123.17,2,0.9999999999982006
g-2553,0,0,412,90.8,2,0.999999999999071
g-256,0,0,1056,28.97,2,0.9999931706707148
g-2560,0,0,393,215.15,2,0.9999999999987317
g-257,0,0,1057,60.0,2,0.9999999282319124
g-2574,0,0,383,102.03,2,0.9999999999988312
g-2577,0,0,372,96.66,2,0.9999999999990425
g-258,0,0,1059,60.0,2,0.9999999283824231
g-2587,3,367,367,97.225,1,0.9951683235510348
g-2589,0,0,364,107.04,2,0.9999999999987743
g-259,0,0,1060,60.0,2,0.9999999284626523
g-2593,0,0,357,154.99,2,0.9999999999980425
g-260,0,0,1061,60.0,2,0.9999999285461713
g-261,0,0,1061,60.0,2,0.9999999285461713
g-262,0,0,1062,34.95,2,0.999997982732327
g-263,1,32,1094,67.5,1,0.9999962465101648
g-264,0,0,1063,60.0,2,0.9999999287229863
g-265,3,1006,1063,93.795,4,0.9372425927857948
g-266,0,0,1063,60.0,2,0.9999999287229863
g-267,2,0,1064,60.0,0,0.9285185031319229
g-268,0,0,1065,60.0,2,0.9999999289126941
g-269,0,0,1065,60.0,2,0.9999999289126941
g-270,0,0,1065,54.0,2,0.9999998662127912
g-271,0,0,1065,60.0,2,0.9999999289126941
g-272,0,0,1068,75.0,2,0.9999999808488627
g-273,0,0,1126,52.99,2,0.9999998725207809
g-274,0,0,1126,52.99,2,0.9999998725207809
g-275,0,0,1128,52.99,2,0.9999998735305775
g-276,0,0,1128,60.19,2,0.999999941394046
g-277,1,9,1138,52.99,1,0.9999999999264908
g-279,0,0,1130,52.99,2,0.9999998745520217
g-280,0,0,1133,52.99,2,0.999999876104893
g-281,0,0,1136,35.0,2,0.9999983532700304
g-282,0,0,1079,38.97,2,0.9999990149658837
g-283,0,0,1091,100.0,2,0.9999999963981008
g-284,0,0,1104,1.95,0,0.9984564584297473
g-285,0,0,1139,52.99,2,0.9999998792788036
g-286,0,0,1141,52.99,2,0.9999998803551033
g-2862,0,0,337,87.97,2,0.9999999999994138
g-287,0,0,1142,42.99,2,0.9999995656263929
g-288,0,0,1143,52.99,2,0.9999998814397272
g-289,0,0,1148,52.99,2,0.9999998841844522
g-290,0,0,1164,75.0,2,0.999999986511437
g-291,0,0,1169,35.0,2,0.9999985926384065
g-292,0,0,1173,35.0,2,0.9999986228661314
g-293,0,0,1179,35.0,2,0.9999986683837199
g-295,0,0,1180,74.99,2,0.9999999876947198
g-296,0,0,1181,109.99,2,0.9999999985859436
g-297,0,0,1182,74.99,2,0.9999999878438254
g-298,2,5,1188,73.32666666666667,1,0.9999999999999982
g-299,5,815,1212,145.975,4,0.9998328754689307
g-300,0,0,1182,74.99,2,0.9999999878438254
g-301,0,0,1211,79.99,2,0.9999999930938284
g-302,0,0,1182,35.0,2,0.9999986911822866
g-303,0,0,1183,40.0,2,0.9999994466282945
g-304,0,0,1183,40.0,2,0.9999994466282945
g-305,0,0,1184,35.0,2,0.9999987063841101
g-306,0,0,1184,109.99,2,0.9999999986124557
g-307,0,0,1184,74.99,2,0.9999999879927427
g-308,2,1099,1184,106.91666666666667,4,0.7264710352026353
g-3085,0,0,319,127.91,2,0.9999999999985327
g-3089,0,0,315,117.38,2,0.9999999999987921
g-309,0,0,1185,35.0,2,0.9999987139839552
g-3091,0,0,314,174.59,2,0.9999999999981561
g-3092,0,0,310,157.49,2,0.9999999999982006
g-310,0,0,1185,74.99,2,0.999999988067117
g-311,0,0,1212,44.99,2,0.9999997810603061
g-312,0,0,1212,44.99,2,0.9999997810603061
g-313,0,0,1187,50.0,2,0.9999998663527592
g-314,0,0,1213,94.99,2,0.9999999974369924
g-315,0,0,1187,114.99,2,0.9999999989310773
g-316,1,871,1213,70.975,1,0.9494365116460768
g-3161,1,99,290,94.41,1,0.999651334810375
g-3165,0,0,289,172.64,2,0.9999999999982627
g-317,0,0,1213,129.99,2,0.9999999995373905
