c1,c2,dist,count
1044.0,1058.0,14.0439289301478,270.0
1054.0,1057.0,14.870875629417283,147.0
1060.0,1061.0,17.2885883998262,417.0
1048.0,1062.0,18.71456157469452,430.0
1042.0,1059.0,19.00450794540195,36.0
194.0,1053.0,19.832997588007323,4.0
1047.0,1063.0,20.96605160421938,449.0
1056.0,1065.0,21.051086142858438,14.0
1014.0,1049.0,22.357024718853015,27.0
1051.0,1066.0,23.144126921380877,460.0
1064.0,1069.0,25.65512636255374,496.0
1068.0,1070.0,27.853022097759222,523.0
1067.0,1071.0,28.54470837368048,537.0
