# ----------------------------------------
# Reports snapshot
# Account: FireFly Farms
# Property: FireFly Farms
# ----------------------------------------
#  
# Start date: 20260220
# End date: 20260319
Blake Hill Gooseberry with Elderflower,1
Cabra LaMancha,1
FireFly Sampler,1
Fresh Goat Cheese,1
West Virginia Cherry-Jalapeño Pepper Jam,1
White Rock,1

# How does activity on your platforms compare?
# Start date: 20260220
# End date: 20260319
Platform,Key events
web,10
