Billing ZIP,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
07311,1,167.58,167.58,2,2,8,8,1,100
30084,1,63.16,63.16,1,1,3,3,0,0
60612,1,115,115,1,1,1,1,0,0
15102,1,788,788,13,13,13,13,1,100
78218,1,210.02,210.02,3,3,7,7,1,100
54235,1,131.18,131.18,1,1,6,6,0,0
27051,1,50,50,1,1,1,1,0,0
80439,1,96.45,96.45,1,1,5,5,0,0
32812,1,284.35,284.35,3,3,8,8,1,100
21550-6420,1,78.62,78.62,1,1,1,1,0,0
32132,1,61.41,61.41,1,1,1,1,0,0
87506,1,107.39,107.39,1,1,1,1,0,0
17349,1,642.4,642.4,6,6,18,18,1,100
08757,1,88.05,88.05,1,1,3,3,0,0
21774,1,202.13,202.13,1,1,2,2,0,0
20147,1,45.33,45.33,1,1,1,1,0,0
32779,1,248.93,248.93,2,2,7,7,1,100
25832,1,76.96,76.96,1,1,4,4,0,0
11777,1,151.43,151.43,1,1,1,1,0,0
33647-2287,1,105,105,3,3,3,3,1,100
32034,1,491.15,491.15,7,7,26,26,1,100
21093,1,86.15,86.15,1,1,4,4,0,0
20712,1,187.16,187.16,2,2,23,23,1,100
19348,1,68.46,68.46,1,1,3,3,0,0
15551,1,127.91,127.91,1,1,1,1,0,0
22124,1,223.72,223.72,2,2,4,4,1,100
04057,1,76.16,76.16,1,1,3,3,0,0
21797,1,145.37,145.37,1,1,2,2,0,0
21223,1,100.99,100.99,1,1,3,3,0,0
10924-1823,1,385.37,385.37,4,4,19,19,1,100
21102,1,84.33,84.33,1,1,1,1,0,0
18458,1,179.03,179.03,2,2,10,10,1,100
33134,1,67.04,67.04,1,1,1,1,0,0
45238-4517,1,123.17,123.17,1,1,6,6,0,0
20733,1,1055.3,1055.3,17,17,17,17,1,100
09648,1,29.97,29.97,1,1,3,3,0,0
21230,1,215.15,215.15,1,1,8,8,0,0
15221,1,139.49,139.49,2,2,6,6,1,100
94609,1,56.32,56.32,1,1,1,1,0,0
20886,1,98.8,98.8,1,1,4,4,0,0
20650,1,313.96,313.96,2,2,8,8,1,100
21678,1,81.5,81.5,1,1,2,2,0,0
27609,1,171.71,171.71,2,2,17,17,1,100
16002,1,64.85,64.85,1,1,2,2,0,0
20896,1,117.49,117.49,1,1,1,1,0,0
21782,1,847,847,14,14,14,14,1,100
22405,1,72.05,72.05,1,1,1,1,0,0
21286,1,133.19,133.19,1,1,1,1,0,0
11946,1,52.99,52.99,1,1,1,1,0,0
22181-2945,1,97.34,97.34,1,1,1,1,0,0
20151,1,297,297,4,4,4,4,1,100
20912,1,79.99,79.99,1,1,1,1,0,0
60467,1,163.19,163.19,2,2,2,2,1,100
33625-1975,1,109.26,109.26,1,1,8,8,0,0
15139,1,706.45,706.45,6,6,17,17,1,100
21054,1,205.14,205.14,2,2,8,8,1,100
85637,1,129.34,129.34,1,1,1,1,0,0
76273,1,49.71,49.71,1,1,4,4,0,0
21403-4222,1,96.16,96.16,1,1,1,1,0,0
26833,1,269.43,269.43,3,3,14,14,1,100
15037-9512,1,78.18,78.18,1,1,1,1,0,0
21536-3163,1,155.96,155.96,1,1,4,4,0,0
21202-2664,1,106.59,106.59,1,1,1,1,0,0
21202,1,594,594,7,7,7,7,1,100
21015,1,87.94,87.94,1,1,6,6,0,0
32931,1,196.95,196.95,1,1,3,3,0,0
47401,1,71.15,71.15,1,1,2,2,0,0
20833,1,42.49,42.49,1,1,1,1,0,0
21550-1212,1,93.75,93.75,1,1,4,4,0,0
17222,1,76.86,76.86,1,1,1,1,0,0
83422,1,148.84,148.84,1,1,4,4,0,0
10065,1,59.15,59.15,1,1,2,2,0,0
20871,1,103.18,103.18,1,1,1,1,0,0
20879,1,462,462,11,11,11,11,1,100
06405,1,85.11,85.11,1,1,2,2,0,0
71201,1,183,183,1,1,1,1,0,0
34997,1,124.89,124.89,1,1,1,1,0,0
60605,1,90.76,90.76,1,1,3,3,0,0
30318,1,218.34,218.34,1,1,9,9,0,0
22646,1,143.19,143.19,2,2,2,2,1,100
19805,1,57.83,57.83,1,1,3,3,0,0
76109,1,100,100,1,1,1,1,0,0
15217,1,358.41,358.41,3,3,3,3,1,100
22207,1,82.49,82.49,1,1,3,3,0,0
21114,1,174.59,174.59,1,1,2,2,0,0
21224,1,66.72,66.72,1,1,3,3,0,0
53715,1,119,119,4,4,4,4,1,100
23103,1,74.01,74.01,1,1,2,2,0,0
17202,1,52.99,52.99,1,1,1,1,0,0
44333,1,98.45,98.45,1,1,3,3,0,0
21012,1,309.54,309.54,3,3,3,3,1,100
55066,1,80.46,80.46,1,1,6,6,0,0
22202,1,168.63,168.63,1,1,1,1,0,0
95110,1,116.81,116.81,1,1,6,6,0,0
06513,1,799.56,799.56,14,14,26,26,1,100
